ponto_id,lat_pred,lon_pred
0,-8.0,-34.0
3,-8.0,-34.0
8,-8.0,-34.0
10,-8.0,-34.0
12,-8.0,-34.0
14,-8.0,-34.0
17,-8.0,-34.0
19,-8.0,-34.0
23,-8.0,-34.0
29,-8.0,-34.0
30,-8.0,-34.0
31,-8.0,-34.0
33,-8.0,-34.0
36,-8.0,-34.0
37,-8.0,-34.0
39,-8.0,-34.0
41,-8.0,-34.0
46,-8.0,-34.0
47,-8.0,-34.0
48,-8.0,-34.0
50,-8.0,-34.0
56,-8.0,-34.0
58,-8.0,-34.0
59,-8.0,-34.0
61,-8.0,-34.0
65,-8.0,-34.0
68,-8.0,-34.0
69,-8.0,-34.0
70,-8.0,-34.0
73,-8.0,-34.0
76,-8.0,-34.0
79,-8.0,-34.0
80,-8.0,-34.0
81,-8.0,-34.0
87,-8.0,-34.0
88,-8.0,-34.0
91,-8.0,-34.0
92,-8.0,-34.0
93,-8.0,-34.0
95,-8.0,-34.0
96,-8.0,-34.0
99,-8.0,-34.0
100,-8.0,-34.0
101,-8.0,-34.0
102,-8.0,-34.0
103,-8.0,-34.0
104,-8.0,-34.0
106,-8.0,-34.0
107,-8.0,-34.0
108,-8.0,-34.0
111,-8.0,-34.0
118,-8.0,-34.0
119,-8.0,-34.0
122,-8.0,-34.0
131,-8.0,-34.0
132,-8.0,-34.0
135,-8.0,-34.0
144,-8.0,-34.0
149,-8.0,-34.0
151,-8.0,-34.0
157,-8.0,-34.0
164,-8.0,-34.0
167,-8.0,-34.0
168,-8.0,-34.0
169,-8.0,-34.0
172,-8.0,-34.0
176,-8.0,-34.0
177,-8.0,-34.0
179,-8.0,-34.0
180,-8.0,-34.0
181,-8.0,-34.0
185,-8.0,-34.0
196,-8.0,-34.0
199,-8.0,-34.0
209,-8.0,-34.0
211,-8.0,-34.0
212,-8.0,-34.0
214,-8.0,-34.0
217,-8.0,-34.0
218,-8.0,-34.0
221,-8.0,-34.0
222,-8.0,-34.0
229,-8.0,-34.0
230,-8.0,-34.0
233,-8.0,-34.0
239,-8.0,-34.0
245,-8.0,-34.0
247,-8.0,-34.0
248,-8.0,-34.0
251,-8.0,-34.0
252,-8.0,-34.0
257,-8.0,-34.0
263,-8.0,-34.0
265,-8.0,-34.0
267,-8.0,-34.0
274,-8.0,-34.0
286,-8.0,-34.0
288,-8.0,-34.0
291,-8.0,-34.0
292,-8.0,-34.0
300,-8.0,-34.0
304,-8.0,-34.0
308,-8.0,-34.0
311,-8.0,-34.0
315,-8.0,-34.0
316,-8.0,-34.0
318,-8.0,-34.0
319,-8.0,-34.0
321,-8.0,-34.0
323,-8.0,-34.0
328,-8.0,-34.0
330,-8.0,-34.0
332,-8.0,-34.0
333,-8.0,-34.0
334,-8.0,-34.0
335,-8.0,-34.0
337,-8.0,-34.0
346,-8.0,-34.0
349,-8.0,-34.0
350,-8.0,-34.0
353,-8.0,-34.0
354,-8.0,-34.0
360,-8.0,-34.0
367,-8.0,-34.0
379,-8.0,-34.0
381,-8.0,-34.0
385,-8.0,-34.0
388,-8.0,-34.0
393,-8.0,-34.0
394,-8.0,-34.0
400,-8.0,-34.0
401,-8.0,-34.0
402,-8.0,-34.0
408,-8.0,-34.0
409,-8.0,-34.0
411,-8.0,-34.0
415,-8.0,-34.0
416,-8.0,-34.0
427,-8.0,-34.0
429,-8.0,-34.0
433,-8.0,-34.0
435,-8.0,-34.0
439,-8.0,-34.0
445,-8.0,-34.0
447,-8.0,-34.0
449,-8.0,-34.0
453,-8.0,-34.0
455,-8.0,-34.0
457,-8.0,-34.0
461,-8.0,-34.0
462,-8.0,-34.0
465,-8.0,-34.0
468,-8.0,-34.0
472,-8.0,-34.0
473,-8.0,-34.0
474,-8.0,-34.0
476,-8.0,-34.0
477,-8.0,-34.0
483,-8.0,-34.0
485,-8.0,-34.0
486,-8.0,-34.0
487,-8.0,-34.0
495,-8.0,-34.0
496,-8.0,-34.0
500,-8.0,-34.0
503,-8.0,-34.0
509,-8.0,-34.0
510,-8.0,-34.0
511,-8.0,-34.0
513,-8.0,-34.0
518,-8.0,-34.0
524,-8.0,-34.0
528,-8.0,-34.0
530,-8.0,-34.0
532,-8.0,-34.0
533,-8.0,-34.0
538,-8.0,-34.0
540,-8.0,-34.0
543,-8.0,-34.0
544,-8.0,-34.0
550,-8.0,-34.0
551,-8.0,-34.0
554,-8.0,-34.0
555,-8.0,-34.0
563,-8.0,-34.0
564,-8.0,-34.0
567,-8.0,-34.0
568,-8.0,-34.0
576,-8.0,-34.0
577,-8.0,-34.0
582,-8.0,-34.0
586,-8.0,-34.0
590,-8.0,-34.0
591,-8.0,-34.0
592,-8.0,-34.0
594,-8.0,-34.0
601,-8.0,-34.0
603,-8.0,-34.0
604,-8.0,-34.0
605,-8.0,-34.0
611,-8.0,-34.0
613,-8.0,-34.0
617,-8.0,-34.0
618,-8.0,-34.0
620,-8.0,-34.0
623,-8.0,-34.0
624,-8.0,-34.0
625,-8.0,-34.0
633,-8.0,-34.0
637,-8.0,-34.0
641,-8.0,-34.0
642,-8.0,-34.0
647,-8.0,-34.0
653,-8.0,-34.0
654,-8.0,-34.0
655,-8.0,-34.0
664,-8.0,-34.0
665,-8.0,-34.0
668,-8.0,-34.0
673,-8.0,-34.0
675,-8.0,-34.0
676,-8.0,-34.0
678,-8.0,-34.0
682,-8.0,-34.0
683,-8.0,-34.0
693,-8.0,-34.0
694,-8.0,-34.0
696,-8.0,-34.0
700,-8.0,-34.0
706,-8.0,-34.0
708,-8.0,-34.0
710,-8.0,-34.0
711,-8.0,-34.0
712,-8.0,-34.0
713,-8.0,-34.0
715,-8.0,-34.0
718,-8.0,-34.0
724,-8.0,-34.0
730,-8.0,-34.0
733,-8.0,-34.0
736,-8.0,-34.0
737,-8.0,-34.0
738,-8.0,-34.0
740,-8.0,-34.0
742,-8.0,-34.0
743,-8.0,-34.0
744,-8.0,-34.0
745,-8.0,-34.0
747,-8.0,-34.0
748,-8.0,-34.0
749,-8.0,-34.0
751,-8.0,-34.0
753,-8.0,-34.0
758,-8.0,-34.0
759,-8.0,-34.0
761,-8.0,-34.0
763,-8.0,-34.0
764,-8.0,-34.0
765,-8.0,-34.0
766,-8.0,-34.0
773,-8.0,-34.0
774,-8.0,-34.0
782,-8.0,-34.0
786,-8.0,-34.0
789,-8.0,-34.0
794,-8.0,-34.0
795,-8.0,-34.0
799,-8.0,-34.0
800,-8.0,-34.0
809,-8.0,-34.0
810,-8.0,-34.0
811,-8.0,-34.0
815,-8.0,-34.0
828,-8.0,-34.0
831,-8.0,-34.0
833,-8.0,-34.0
834,-8.0,-34.0
835,-8.0,-34.0
837,-8.0,-34.0
841,-8.0,-34.0
852,-8.0,-34.0
856,-8.0,-34.0
858,-8.0,-34.0
862,-8.0,-34.0
866,-8.0,-34.0
868,-8.0,-34.0
871,-8.0,-34.0
872,-8.0,-34.0
877,-8.0,-34.0
879,-8.0,-34.0
881,-8.0,-34.0
883,-8.0,-34.0
906,-8.0,-34.0
908,-8.0,-34.0
914,-8.0,-34.0
921,-8.0,-34.0
927,-8.0,-34.0
932,-8.0,-34.0
934,-8.0,-34.0
940,-8.0,-34.0
947,-8.0,-34.0
952,-8.0,-34.0
957,-8.0,-34.0
958,-8.0,-34.0
960,-8.0,-34.0
964,-8.0,-34.0
965,-8.0,-34.0
967,-8.0,-34.0
970,-8.0,-34.0
971,-8.0,-34.0
982,-8.0,-34.0
994,-8.0,-34.0
996,-8.0,-34.0
997,-8.0,-34.0
1002,-8.0,-34.0
1005,-8.0,-34.0
1009,-8.0,-34.0
1010,-8.0,-34.0
1017,-8.0,-34.0
1018,-8.0,-34.0
1020,-8.0,-34.0
1022,-8.0,-34.0
1025,-8.0,-34.0
1027,-8.0,-34.0
1034,-8.0,-34.0
1038,-8.0,-34.0
1042,-8.0,-34.0
1044,-8.0,-34.0
1046,-8.0,-34.0
1052,-8.0,-34.0
1053,-8.0,-34.0
1055,-8.0,-34.0
1056,-8.0,-34.0
1057,-8.0,-34.0
1061,-8.0,-34.0
1068,-8.0,-34.0
1071,-8.0,-34.0
1074,-8.0,-34.0
1075,-8.0,-34.0
1076,-8.0,-34.0
1078,-8.0,-34.0
1084,-8.0,-34.0
1087,-8.0,-34.0
1090,-8.0,-34.0
1095,-8.0,-34.0
1101,-8.0,-34.0
1103,-8.0,-34.0
1107,-8.0,-34.0
1108,-8.0,-34.0
1111,-8.0,-34.0
1112,-8.0,-34.0
1115,-8.0,-34.0
1123,-8.0,-34.0
1126,-8.0,-34.0
1127,-8.0,-34.0
1139,-8.0,-34.0
1142,-8.0,-34.0
1144,-8.0,-34.0
1145,-8.0,-34.0
1147,-8.0,-34.0
1149,-8.0,-34.0
1152,-8.0,-34.0
1153,-8.0,-34.0
1155,-8.0,-34.0
1156,-8.0,-34.0
1157,-8.0,-34.0
1162,-8.0,-34.0
1163,-8.0,-34.0
1166,-8.0,-34.0
1168,-8.0,-34.0
1172,-8.0,-34.0
1175,-8.0,-34.0
1176,-8.0,-34.0
1180,-8.0,-34.0
1183,-8.0,-34.0
1188,-8.0,-34.0
1193,-8.0,-34.0
1194,-8.0,-34.0
1195,-8.0,-34.0
1197,-8.0,-34.0
1199,-8.0,-34.0
1201,-8.0,-34.0
1204,-8.0,-34.0
1210,-8.0,-34.0
1217,-8.0,-34.0
1219,-8.0,-34.0
1220,-8.0,-34.0
1222,-8.0,-34.0
1224,-8.0,-34.0
1226,-8.0,-34.0
1233,-8.0,-34.0
1244,-8.0,-34.0
1245,-8.0,-34.0
1247,-8.0,-34.0
1250,-8.0,-34.0
1253,-8.0,-34.0
1254,-8.0,-34.0
1261,-8.0,-34.0
1263,-8.0,-34.0
1277,-8.0,-34.0
1278,-8.0,-34.0
1281,-8.0,-34.0
1282,-8.0,-34.0
1285,-8.0,-34.0
1287,-8.0,-34.0
1295,-8.0,-34.0
1297,-8.0,-34.0
1298,-8.0,-34.0
1310,-8.0,-34.0
1313,-8.0,-34.0
1314,-8.0,-34.0
1315,-8.0,-34.0
1318,-8.0,-34.0
1320,-8.0,-34.0
1322,-8.0,-34.0
1323,-8.0,-34.0
1328,-8.0,-34.0
1329,-8.0,-34.0
1330,-8.0,-34.0
1334,-8.0,-34.0
1339,-8.0,-34.0
1345,-8.0,-34.0
1346,-8.0,-34.0
1349,-8.0,-34.0
1354,-8.0,-34.0
1355,-8.0,-34.0
1359,-8.0,-34.0
1360,-8.0,-34.0
1369,-8.0,-34.0
1372,-8.0,-34.0
1373,-8.0,-34.0
1374,-8.0,-34.0
1379,-8.0,-34.0
1383,-8.0,-34.0
1385,-8.0,-34.0
1393,-8.0,-34.0
1396,-8.0,-34.0
1400,-8.0,-34.0
1402,-8.0,-34.0
1405,-8.0,-34.0
1406,-8.0,-34.0
1413,-8.0,-34.0
1414,-8.0,-34.0
1416,-8.0,-34.0
1417,-8.0,-34.0
1418,-8.0,-34.0
1420,-8.0,-34.0
1421,-8.0,-34.0
1426,-8.0,-34.0
1427,-8.0,-34.0
1429,-8.0,-34.0
1430,-8.0,-34.0
1432,-8.0,-34.0
1437,-8.0,-34.0
1438,-8.0,-34.0
1443,-8.0,-34.0
1446,-8.0,-34.0
1452,-8.0,-34.0
1453,-8.0,-34.0
1456,-8.0,-34.0
1458,-8.0,-34.0
1465,-8.0,-34.0
1467,-8.0,-34.0
1468,-8.0,-34.0
1470,-8.0,-34.0
1472,-8.0,-34.0
1477,-8.0,-34.0
1479,-8.0,-34.0
1480,-8.0,-34.0
1482,-8.0,-34.0
1483,-8.0,-34.0
1488,-8.0,-34.0
1491,-8.0,-34.0
1496,-8.0,-34.0
1501,-8.0,-34.0
1502,-8.0,-34.0
1509,-8.0,-34.0
1512,-8.0,-34.0
1513,-8.0,-34.0
1516,-8.0,-34.0
1527,-8.0,-34.0
1530,-8.0,-34.0
1532,-8.0,-34.0
1533,-8.0,-34.0
1535,-8.0,-34.0
1536,-8.0,-34.0
1543,-8.0,-34.0
1544,-8.0,-34.0
1545,-8.0,-34.0
1550,-8.0,-34.0
1557,-8.0,-34.0
1558,-8.0,-34.0
1559,-8.0,-34.0
1561,-8.0,-34.0
1562,-8.0,-34.0
1568,-8.0,-34.0
1569,-8.0,-34.0
1570,-8.0,-34.0
1575,-8.0,-34.0
1576,-8.0,-34.0
1578,-8.0,-34.0
1586,-8.0,-34.0
1593,-8.0,-34.0
1595,-8.0,-34.0
1597,-8.0,-34.0
1598,-8.0,-34.0
1599,-8.0,-34.0
1603,-8.0,-34.0
1606,-8.0,-34.0
1608,-8.0,-34.0
1614,-8.0,-34.0
1615,-8.0,-34.0
1616,-8.0,-34.0
1617,-8.0,-34.0
1618,-8.0,-34.0
1623,-8.0,-34.0
1626,-8.0,-34.0
1631,-8.0,-34.0
1642,-8.0,-34.0
1643,-8.0,-34.0
1649,-8.0,-34.0
1650,-8.0,-34.0
1656,-8.0,-34.0
1659,-8.0,-34.0
1662,-8.0,-34.0
1665,-8.0,-34.0
1670,-8.0,-34.0
1671,-8.0,-34.0
1672,-8.0,-34.0
1680,-8.0,-34.0
1683,-8.0,-34.0
1684,-8.0,-34.0
1688,-8.0,-34.0
1691,-8.0,-34.0
1699,-8.0,-34.0
1701,-8.0,-34.0
1713,-8.0,-34.0
1718,-8.0,-34.0
1720,-8.0,-34.0
1721,-8.0,-34.0
1726,-8.0,-34.0
1728,-8.0,-34.0
1729,-8.0,-34.0
1730,-8.0,-34.0
1731,-8.0,-34.0
1732,-8.0,-34.0
1737,-8.0,-34.0
1738,-8.0,-34.0
1739,-8.0,-34.0
1740,-8.0,-34.0
1741,-8.0,-34.0
1743,-8.0,-34.0
1744,-8.0,-34.0
1745,-8.0,-34.0
1746,-8.0,-34.0
1747,-8.0,-34.0
1758,-8.0,-34.0
1760,-8.0,-34.0
1765,-8.0,-34.0
1768,-8.0,-34.0
1770,-8.0,-34.0
1775,-8.0,-34.0
1777,-8.0,-34.0
1780,-8.0,-34.0
1783,-8.0,-34.0
1785,-8.0,-34.0
1790,-8.0,-34.0
1791,-8.0,-34.0
1793,-8.0,-34.0
1794,-8.0,-34.0
1803,-8.0,-34.0
1805,-8.0,-34.0
1807,-8.0,-34.0
1817,-8.0,-34.0
1825,-8.0,-34.0
1832,-8.0,-34.0
1833,-8.0,-34.0
1835,-8.0,-34.0
1839,-8.0,-34.0
1840,-8.0,-34.0
1844,-8.0,-34.0
1851,-8.0,-34.0
1860,-8.0,-34.0
1862,-8.0,-34.0
1864,-8.0,-34.0
1877,-8.0,-34.0
1880,-8.0,-34.0
1888,-8.0,-34.0
1891,-8.0,-34.0
1897,-8.0,-34.0
1915,-8.0,-34.0
1918,-8.0,-34.0
1919,-8.0,-34.0
1921,-8.0,-34.0
1922,-8.0,-34.0
1928,-8.0,-34.0
1934,-8.0,-34.0
1937,-8.0,-34.0
1941,-8.0,-34.0
1945,-8.0,-34.0
1952,-8.0,-34.0
1954,-8.0,-34.0
1957,-8.0,-34.0
1962,-8.0,-34.0
1963,-8.0,-34.0
1965,-8.0,-34.0
1971,-8.0,-34.0
1978,-8.0,-34.0
1981,-8.0,-34.0
1982,-8.0,-34.0
1989,-8.0,-34.0
1992,-8.0,-34.0
1995,-8.0,-34.0
2002,-8.0,-34.0
2004,-8.0,-34.0
2006,-8.0,-34.0
2008,-8.0,-34.0
2012,-8.0,-34.0
2013,-8.0,-34.0
2018,-8.0,-34.0
2022,-8.0,-34.0
2025,-8.0,-34.0
2029,-8.0,-34.0
2034,-8.0,-34.0
2036,-8.0,-34.0
2045,-8.0,-34.0
2055,-8.0,-34.0
2057,-8.0,-34.0
2058,-8.0,-34.0
2063,-8.0,-34.0
2067,-8.0,-34.0
2072,-8.0,-34.0
2075,-8.0,-34.0
2083,-8.0,-34.0
2084,-8.0,-34.0
2087,-8.0,-34.0
2088,-8.0,-34.0
2089,-8.0,-34.0
2094,-8.0,-34.0
2098,-8.0,-34.0
2107,-8.0,-34.0
2108,-8.0,-34.0
2109,-8.0,-34.0
2110,-8.0,-34.0
2111,-8.0,-34.0
2114,-8.0,-34.0
2115,-8.0,-34.0
2121,-8.0,-34.0
2122,-8.0,-34.0
2124,-8.0,-34.0
2127,-8.0,-34.0
2128,-8.0,-34.0
2129,-8.0,-34.0
2131,-8.0,-34.0
2132,-8.0,-34.0
2133,-8.0,-34.0
2134,-8.0,-34.0
2138,-8.0,-34.0
2142,-8.0,-34.0
2145,-8.0,-34.0
2149,-8.0,-34.0
2150,-8.0,-34.0
2152,-8.0,-34.0
2154,-8.0,-34.0
2157,-8.0,-34.0
2164,-8.0,-34.0
2165,-8.0,-34.0
2166,-8.0,-34.0
2167,-8.0,-34.0
2168,-8.0,-34.0
2175,-8.0,-34.0
2177,-8.0,-34.0
2183,-8.0,-34.0
2189,-8.0,-34.0
2191,-8.0,-34.0
2199,-8.0,-34.0
2210,-8.0,-34.0
2213,-8.0,-34.0
2214,-8.0,-34.0
2215,-8.0,-34.0
2221,-8.0,-34.0
2223,-8.0,-34.0
2225,-8.0,-34.0
2227,-8.0,-34.0
2228,-8.0,-34.0
2231,-8.0,-34.0
2232,-8.0,-34.0
2233,-8.0,-34.0
2234,-8.0,-34.0
2239,-8.0,-34.0
2245,-8.0,-34.0
2246,-8.0,-34.0
2248,-8.0,-34.0
2249,-8.0,-34.0
2251,-8.0,-34.0
2252,-8.0,-34.0
2254,-8.0,-34.0
2260,-8.0,-34.0
2268,-8.0,-34.0
2270,-8.0,-34.0
2272,-8.0,-34.0
2273,-8.0,-34.0
2275,-8.0,-34.0
2276,-8.0,-34.0
2286,-8.0,-34.0
2287,-8.0,-34.0
2288,-8.0,-34.0
2291,-8.0,-34.0
2299,-8.0,-34.0
2301,-8.0,-34.0
2302,-8.0,-34.0
2303,-8.0,-34.0
2304,-8.0,-34.0
2310,-8.0,-34.0
2312,-8.0,-34.0
2316,-8.0,-34.0
2319,-8.0,-34.0
2321,-8.0,-34.0
2328,-8.0,-34.0
2335,-8.0,-34.0
2337,-8.0,-34.0
2344,-8.0,-34.0
2348,-8.0,-34.0
2351,-8.0,-34.0
2354,-8.0,-34.0
2358,-8.0,-34.0
2362,-8.0,-34.0
2373,-8.0,-34.0
2375,-8.0,-34.0
2377,-8.0,-34.0
2388,-8.0,-34.0
2389,-8.0,-34.0
2392,-8.0,-34.0
2399,-8.0,-34.0
2404,-8.0,-34.0
2407,-8.0,-34.0
2412,-8.0,-34.0
2413,-8.0,-34.0
2417,-8.0,-34.0
2420,-8.0,-34.0
2423,-8.0,-34.0
2436,-8.0,-34.0
2439,-8.0,-34.0
2441,-8.0,-34.0
2446,-8.0,-34.0
2447,-8.0,-34.0
2453,-8.0,-34.0
2455,-8.0,-34.0
2456,-8.0,-34.0
2458,-8.0,-34.0
2464,-8.0,-34.0
2465,-8.0,-34.0
2470,-8.0,-34.0
2471,-8.0,-34.0
2473,-8.0,-34.0
2478,-8.0,-34.0
2483,-8.0,-34.0
2484,-8.0,-34.0
2485,-8.0,-34.0
2492,-8.0,-34.0
2498,-8.0,-34.0
2510,-8.0,-34.0
2513,-8.0,-34.0
2515,-8.0,-34.0
2516,-8.0,-34.0
2517,-8.0,-34.0
2519,-8.0,-34.0
2522,-8.0,-34.0
2523,-8.0,-34.0
2526,-8.0,-34.0
2531,-8.0,-34.0
2533,-8.0,-34.0
2534,-8.0,-34.0
2540,-8.0,-34.0
2542,-8.0,-34.0
2543,-8.0,-34.0
2554,-8.0,-34.0
2569,-8.0,-34.0
2571,-8.0,-34.0
2574,-8.0,-34.0
2576,-8.0,-34.0
2586,-8.0,-34.0
2588,-8.0,-34.0
2592,-8.0,-34.0
2602,-8.0,-34.0
2603,-8.0,-34.0
2605,-8.0,-34.0
2609,-8.0,-34.0
2611,-8.0,-34.0
2614,-8.0,-34.0
2615,-8.0,-34.0
2619,-8.0,-34.0
2620,-8.0,-34.0
2627,-8.0,-34.0
2628,-8.0,-34.0
2638,-8.0,-34.0
2648,-8.0,-34.0
2650,-8.0,-34.0
2651,-8.0,-34.0
2663,-8.0,-34.0
2664,-8.0,-34.0
2673,-8.0,-34.0
2678,-8.0,-34.0
2680,-8.0,-34.0
2682,-8.0,-34.0
2683,-8.0,-34.0
2684,-8.0,-34.0
2685,-8.0,-34.0
2688,-8.0,-34.0
2689,-8.0,-34.0
2691,-8.0,-34.0
2692,-8.0,-34.0
2697,-8.0,-34.0
2698,-8.0,-34.0
2701,-8.0,-34.0
2707,-8.0,-34.0
2715,-8.0,-34.0
2718,-8.0,-34.0
2724,-8.0,-34.0
2726,-8.0,-34.0
2729,-8.0,-34.0
2737,-8.0,-34.0
2742,-8.0,-34.0
2748,-8.0,-34.0
2750,-8.0,-34.0
2751,-8.0,-34.0
2753,-8.0,-34.0
2754,-8.0,-34.0
2755,-8.0,-34.0
2758,-8.0,-34.0
2759,-8.0,-34.0
2760,-8.0,-34.0
2762,-8.0,-34.0
2766,-8.0,-34.0
2769,-8.0,-34.0
2770,-8.0,-34.0
2771,-8.0,-34.0
2777,-8.0,-34.0
2794,-8.0,-34.0
2802,-8.0,-34.0
2807,-8.0,-34.0
2816,-8.0,-34.0
2818,-8.0,-34.0
2820,-8.0,-34.0
2825,-8.0,-34.0
2826,-8.0,-34.0
2833,-8.0,-34.0
2835,-8.0,-34.0
2840,-8.0,-34.0
2846,-8.0,-34.0
2848,-8.0,-34.0
2855,-8.0,-34.0
2858,-8.0,-34.0
2859,-8.0,-34.0
2862,-8.0,-34.0
2864,-8.0,-34.0
2865,-8.0,-34.0
2867,-8.0,-34.0
2868,-8.0,-34.0
2870,-8.0,-34.0
2874,-8.0,-34.0
2876,-8.0,-34.0
2880,-8.0,-34.0
2882,-8.0,-34.0
2883,-8.0,-34.0
2884,-8.0,-34.0
2885,-8.0,-34.0
2886,-8.0,-34.0
2894,-8.0,-34.0
2903,-8.0,-34.0
2905,-8.0,-34.0
2906,-8.0,-34.0
2907,-8.0,-34.0
2908,-8.0,-34.0
2910,-8.0,-34.0
2913,-8.0,-34.0
2922,-8.0,-34.0
2926,-8.0,-34.0
2927,-8.0,-34.0
2930,-8.0,-34.0
2932,-8.0,-34.0
2935,-8.0,-34.0
2943,-8.0,-34.0
2945,-8.0,-34.0
2948,-8.0,-34.0
2954,-8.0,-34.0
2955,-8.0,-34.0
2956,-8.0,-34.0
2957,-8.0,-34.0
2960,-8.0,-34.0
2963,-8.0,-34.0
2968,-8.0,-34.0
2970,-8.0,-34.0
2973,-8.0,-34.0
2982,-8.0,-34.0
2991,-8.0,-34.0
2995,-8.0,-34.0
2997,-8.0,-34.0
3000,-8.0,-34.0
3001,-8.0,-34.0
3002,-8.0,-34.0
3006,-8.0,-34.0
3007,-8.0,-34.0
3011,-8.0,-34.0
3014,-8.0,-34.0
3016,-8.0,-34.0
3017,-8.0,-34.0
3018,-8.0,-34.0
3019,-8.0,-34.0
3021,-8.0,-34.0
3023,-8.0,-34.0
3024,-8.0,-34.0
3025,-8.0,-34.0
3026,-8.0,-34.0
3027,-8.0,-34.0
3031,-8.0,-34.0
3032,-8.0,-34.0
3033,-8.0,-34.0
3035,-8.0,-34.0
3037,-8.0,-34.0
3038,-8.0,-34.0
3043,-8.0,-34.0
3044,-8.0,-34.0
3045,-8.0,-34.0
3047,-8.0,-34.0
3050,-8.0,-34.0
3053,-8.0,-34.0
3055,-8.0,-34.0
3057,-8.0,-34.0
3058,-8.0,-34.0
3059,-8.0,-34.0
3060,-8.0,-34.0
3063,-8.0,-34.0
3064,-8.0,-34.0
3065,-8.0,-34.0
3070,-8.0,-34.0
3071,-8.0,-34.0
3077,-8.0,-34.0
3078,-8.0,-34.0
3079,-8.0,-34.0
3080,-8.0,-34.0
3082,-8.0,-34.0
3085,-8.0,-34.0
3090,-8.0,-34.0
3091,-8.0,-34.0
3094,-8.0,-34.0
3095,-8.0,-34.0
3100,-8.0,-34.0
3101,-8.0,-34.0
3105,-8.0,-34.0
3107,-8.0,-34.0
3111,-8.0,-34.0
3114,-8.0,-34.0
3118,-8.0,-34.0
3122,-8.0,-34.0
3123,-8.0,-34.0
3125,-8.0,-34.0
3127,-8.0,-34.0
3128,-8.0,-34.0
3130,-8.0,-34.0
3131,-8.0,-34.0
3133,-8.0,-34.0
3142,-8.0,-34.0
3143,-8.0,-34.0
3145,-8.0,-34.0
3146,-8.0,-34.0
3149,-8.0,-34.0
3151,-8.0,-34.0
3153,-8.0,-34.0
3154,-8.0,-34.0
3165,-8.0,-34.0
3172,-8.0,-34.0
3181,-8.0,-34.0
3184,-8.0,-34.0
3185,-8.0,-34.0
3187,-8.0,-34.0
3194,-8.0,-34.0
3202,-8.0,-34.0
3204,-8.0,-34.0
3205,-8.0,-34.0
3206,-8.0,-34.0
